
Subject,Item,Move,1,2,3,Configuration,s,m,l,x,,,,,
pp1002,17,0,,,,,3,1,2,2
pp1002,17,1,s,,,,1,1,2,2
pp1002,17,2,,,l,,1,1,3,2
pp1002,17,3,,s,,,2,1,3,2
pp1002,17,4,,,m,,2,3,3,2
pp1002,17,5,,,s,,3,3,3,2
pp1002,17,6,x,,,,3,3,3,1
pp1002,17,7,s,,,,1,3,3,1
pp1002,17,8,,m,,,1,2,3,1
pp1002,17,9,,s,,,2,2,3,1
pp1002,17,10,l,,,,2,2,1,1
pp1002,17,11,,,s,,3,2,1,1
pp1002,17,12,m,,,,3,1,1,1
pp1002,17,13,s,,,,1,1,1,1

pp1002,18,Target,,,,,2,2,3,1
pp1002,18,0,,,,,3,2,3,3
pp1002,18,1,m,,,,3,1,3,3
pp1002,18,2,s,,,,1,1,3,3
pp1002,18,3,,l,,,1,1,2,3
pp1002,18,4,,,s,,3,1,2,3
pp1002,18,5,,m,,,3,2,2,3
pp1002,18,6,,s,,,2,2,2,3
pp1002,18,7,x,,,,2,2,2,1
pp1002,18,8,,,s,,3,2,2,1
pp1002,18,9,m,,,,3,1,2,1
pp1002,18,10,s,,,,1,1,2,1
pp1002,18,11,,,l,,1,1,3,1
pp1002,18,12,,,s,,3,1,3,1
pp1002,18,13,,m,,,3,2,3,1
pp1002,18,14,,s,,,2,2,3,1

pp1002,19,Target,,,,,1,1,1,1
pp1002,19,0,,,,,3,3,3,3
pp1002,19,1,,,s,,3,3,3,3
pp1002,19,2,,m,,,3,2,3,3
pp1002,19,3,,,s,,3,2,3,3
pp1002,19,4,l,,,,3,2,1,3
pp1002,19,5,s,,,,1,2,1,3
pp1002,19,6,,,m,,1,3,1,3
pp1002,19,7,,,s,,3,3,1,3
pp1002,19,8,,l,,,3,3,2,3
pp1002,19,9,s,,,,1,3,2,3
pp1002,19,10,,m,,,1,2,2,3
pp1002,19,11,,s,,,2,2,2,3
pp1002,19,12,x,,,,2,2,2,1
pp1002,19,13,s,,,,1,2,2,1
pp1002,19,14,,,m,,1,3,2,1
pp1002,19,15,,,s,,3,3,2,1
pp1002,19,16,l,,,,3,3,1,1
pp1002,19,17,,s,,,2,3,1,1
pp1002,19,18,m,,,,2,1,1,1
pp1002,19,19,,s,,,2,1,1,1

pp1002,20,Target,,,,,3,3,1,2
pp1002,20,0,,,,,3,3,1,1
pp1002,20,1,,l,,,3,3,2,1
